	Kingdom	Phylum	Class	Order	Family	Genus	Species
FASV828	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
FASV829	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	niemeijerarum
FASV830	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	acuminatus
FASV831	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	flavipes
FASV832	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
FASV833	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla	NA
FASV834	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Monocillium	mucidum
FASV835	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	alpina
FASV836	Fungi	Ascomycota	NA	NA	NA	NA	NA
FASV837	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	NA
FASV838	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	pisciphila
FASV839	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	NA
FASV840	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella	NA
FASV841	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	verticillata
FASV842	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	NA	NA
FASV843	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora	NA
FASV844	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	parvulum
FASV845	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	NA
FASV846	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Chrysosporium	pseudomerdarium
FASV847	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	NA	NA
FASV848	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariales_fam_Incertae_sedis	Oliveonia	pauxilla
FASV849	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	NA
FASV850	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
FASV851	Fungi	Ascomycota	Sordariomycetes	Branch06	NA	NA	NA
FASV852	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
FASV853	Fungi	NA	NA	NA	NA	NA	NA
FASV854	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	alpina
FASV855	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA
FASV856	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	fatshederae
FASV857	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	NA	NA
FASV858	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Piskurozyma	taiwanensis
FASV859	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Cephalotrichum	telluricum
FASV860	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Powellomycetaceae	Powellomyces	NA
FASV861	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Hyphodermella	rosae
FASV862	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	elongata
