"from"	"to"	"weight"	"color"	"arrow.size"
"108"	"BASV45"	"BASV99"	1	"darkgreen"	5
"109"	"BASV45"	"BASV166"	1	"darkgreen"	5
"110"	"BASV45"	"BASV200"	1	"darkred"	5
"111"	"BASV45"	"BASV269"	1	"darkgreen"	5
"112"	"BASV45"	"BASV273"	1	"darkgreen"	5
"113"	"BASV45"	"BASV334"	1	"darkred"	5
"114"	"BASV45"	"BASV398"	1	"darkgreen"	5
"115"	"BASV45"	"BASV556"	1	"darkgreen"	5
"116"	"BASV45"	"BASV1245"	1	"darkgreen"	5
"117"	"BASV45"	"BASV2364"	1	"darkgreen"	5
"118"	"BASV45"	"BASV2697"	1	"darkred"	5
"119"	"BASV45"	"FASV10"	1	"darkgreen"	5
"120"	"BASV45"	"FASV20"	1	"darkgreen"	5
"121"	"BASV45"	"FASV56"	1	"darkgreen"	5
"122"	"BASV45"	"FASV62"	1	"darkgreen"	5
"123"	"BASV45"	"FASV171"	1	"darkgreen"	5
"124"	"BASV45"	"FASV309"	1	"darkred"	5
"125"	"BASV45"	"FASV386"	1	"darkred"	5
"126"	"BASV45"	"FASV436"	1	"darkred"	5
"127"	"BASV61"	"BASV112"	1	"darkgreen"	5
"128"	"BASV61"	"BASV210"	1	"darkgreen"	5
"129"	"BASV61"	"BASV453"	1	"darkgreen"	5
"130"	"BASV61"	"BASV2185"	1	"darkgreen"	5
"131"	"BASV61"	"BASV2872"	1	"darkgreen"	5
"132"	"BASV61"	"FASV27"	1	"darkgreen"	5
"133"	"BASV61"	"FASV46"	1	"darkgreen"	5
"134"	"BASV61"	"FASV56"	1	"darkgreen"	5
"135"	"BASV61"	"FASV62"	1	"darkgreen"	5
"136"	"BASV61"	"FASV132"	1	"darkgreen"	5
"137"	"BASV61"	"FASV293"	1	"darkgreen"	5
"138"	"BASV61"	"FASV483"	1	"darkgreen"	5
"139"	"BASV61"	"FASV585"	1	"darkgreen"	5
"140"	"BASV62"	"BASV76"	1	"darkgreen"	5
"141"	"BASV62"	"BASV95"	1	"darkgreen"	5
"142"	"BASV62"	"BASV112"	1	"darkgreen"	5
"143"	"BASV62"	"BASV136"	1	"darkgreen"	5
"144"	"BASV62"	"BASV230"	1	"darkgreen"	5
"145"	"BASV62"	"BASV398"	1	"darkgreen"	5
"146"	"BASV62"	"BASV741"	1	"darkred"	5
