"from"	"to"	"weight"	"color"	"arrow.size"
"107"	"BASV88"	"BASV95"	1	"darkgreen"	5
"108"	"BASV88"	"BASV112"	1	"darkgreen"	5
"109"	"BASV88"	"BASV182"	1	"darkgreen"	5
"110"	"BASV88"	"BASV260"	1	"darkgreen"	5
"111"	"BASV88"	"BASV269"	1	"darkgreen"	5
"112"	"BASV88"	"BASV294"	1	"darkgreen"	5
"113"	"BASV88"	"BASV338"	1	"darkgreen"	5
"114"	"BASV88"	"BASV396"	1	"darkgreen"	5
"115"	"BASV88"	"BASV673"	1	"darkgreen"	5
"116"	"BASV88"	"BASV858"	1	"darkgreen"	5
"117"	"BASV88"	"FASV27"	1	"darkgreen"	5
"118"	"BASV88"	"FASV36"	1	"darkgreen"	5
"119"	"BASV88"	"FASV40"	1	"darkgreen"	5
"120"	"BASV88"	"FASV46"	1	"darkgreen"	5
"121"	"BASV88"	"FASV171"	1	"darkgreen"	5
"122"	"BASV95"	"BASV99"	1	"darkgreen"	5
"123"	"BASV95"	"BASV182"	1	"darkgreen"	5
"124"	"BASV95"	"BASV186"	1	"darkgreen"	5
"125"	"BASV95"	"BASV269"	1	"darkgreen"	5
"126"	"BASV95"	"BASV741"	1	"darkred"	5
"127"	"BASV95"	"BASV932"	1	"darkred"	5
"128"	"BASV95"	"FASV37"	1	"darkgreen"	5
"129"	"BASV95"	"FASV69"	1	"darkred"	5
"130"	"BASV99"	"BASV112"	1	"darkgreen"	5
"131"	"BASV99"	"BASV116"	1	"darkgreen"	5
"132"	"BASV99"	"BASV182"	1	"darkgreen"	5
"133"	"BASV99"	"BASV232"	1	"darkgreen"	5
"134"	"BASV99"	"BASV673"	1	"darkgreen"	5
"135"	"BASV99"	"BASV6531"	1	"darkgreen"	5
"136"	"BASV99"	"FASV160"	1	"darkgreen"	5
"137"	"BASV99"	"FASV810"	1	"darkgreen"	5
"138"	"BASV112"	"BASV262"	1	"darkgreen"	5
"139"	"BASV112"	"BASV359"	1	"darkgreen"	5
"140"	"BASV112"	"BASV442"	1	"darkgreen"	5
"141"	"BASV112"	"BASV461"	1	"darkgreen"	5
"142"	"BASV112"	"FASV62"	1	"darkgreen"	5
"143"	"BASV112"	"FASV118"	1	"darkgreen"	5
"144"	"BASV112"	"FASV160"	1	"darkgreen"	5
"145"	"BASV116"	"BASV262"	1	"darkgreen"	5
"146"	"BASV116"	"BASV269"	1	"darkgreen"	5
"147"	"BASV116"	"BASV273"	1	"darkgreen"	5
"148"	"BASV116"	"BASV280"	1	"darkgreen"	5
"149"	"BASV116"	"BASV517"	1	"darkgreen"	5
"150"	"BASV116"	"BASV1125"	1	"darkgreen"	5
"151"	"BASV116"	"BASV2842"	1	"darkgreen"	5
"152"	"BASV116"	"BASV5326"	1	"darkgreen"	5
"153"	"BASV116"	"FASV37"	1	"darkgreen"	5
"154"	"BASV116"	"FASV78"	1	"darkgreen"	5
"155"	"BASV116"	"FASV104"	1	"darkgreen"	5
"156"	"BASV116"	"FASV557"	1	"darkgreen"	5
"157"	"BASV116"	"SUM"	1	"darkred"	5
"158"	"BASV120"	"BASV733"	1	"darkgreen"	5
"159"	"BASV120"	"BASV1790"	1	"darkgreen"	5
"160"	"BASV120"	"BASV2617"	1	"darkgreen"	5
"161"	"BASV120"	"BASV3295"	1	"darkgreen"	5
"162"	"BASV120"	"BASV3366"	1	"darkgreen"	5
"163"	"BASV120"	"BASV5863"	1	"darkgreen"	5
"164"	"BASV120"	"BASV10929"	1	"darkgreen"	5
"165"	"BASV121"	"BASV513"	1	"darkgreen"	5
"166"	"BASV121"	"BASV1035"	1	"darkgreen"	5
"167"	"BASV121"	"FASV142"	1	"darkgreen"	5
"168"	"BASV121"	"FASV149"	1	"darkgreen"	5
"169"	"BASV121"	"FASV163"	1	"darkgreen"	5
"170"	"BASV121"	"FASV336"	1	"darkgreen"	5
"171"	"BASV121"	"FASV475"	1	"darkgreen"	5
"172"	"BASV121"	"FASV906"	1	"darkgreen"	5
"173"	"BASV125"	"BASV794"	1	"darkgreen"	5
"174"	"BASV125"	"BASV939"	1	"darkgreen"	5
"175"	"BASV125"	"BASV1125"	1	"darkgreen"	5
"176"	"BASV125"	"BASV1129"	1	"darkgreen"	5
"177"	"BASV125"	"BASV1167"	1	"darkgreen"	5
"178"	"BASV125"	"BASV1998"	1	"darkgreen"	5
"179"	"BASV125"	"BASV2293"	1	"darkgreen"	5
"180"	"BASV125"	"BASV2984"	1	"darkgreen"	5
"181"	"BASV125"	"BASV3778"	1	"darkgreen"	5
"182"	"BASV125"	"BASV6245"	1	"darkgreen"	5
"183"	"BASV125"	"FASV49"	1	"darkred"	5
"184"	"BASV125"	"FASV171"	1	"darkgreen"	5
"185"	"BASV125"	"FASV463"	1	"darkgreen"	5
"186"	"BASV125"	"FASV880"	1	"darkgreen"	5
"187"	"BASV136"	"BASV166"	1	"darkgreen"	5
"188"	"BASV136"	"BASV186"	1	"darkred"	5
"189"	"BASV136"	"BASV188"	1	"darkgreen"	5
"190"	"BASV136"	"BASV348"	1	"darkgreen"	5
"191"	"BASV136"	"BASV442"	1	"darkgreen"	5
"192"	"BASV136"	"BASV792"	1	"darkgreen"	5
"193"	"BASV136"	"FASV32"	1	"darkgreen"	5
"194"	"BASV136"	"FASV36"	1	"darkgreen"	5
"195"	"BASV136"	"FASV118"	1	"darkgreen"	5
"196"	"BASV137"	"BASV338"	1	"darkgreen"	5
"197"	"BASV137"	"BASV347"	1	"darkgreen"	5
"198"	"BASV137"	"BASV741"	1	"darkgreen"	5
"199"	"BASV137"	"BASV1231"	1	"darkgreen"	5
"200"	"BASV137"	"BASV1784"	1	"darkgreen"	5
"201"	"BASV137"	"FASV36"	1	"darkgreen"	5
"202"	"BASV137"	"FASV75"	1	"darkgreen"	5
"203"	"BASV137"	"FASV595"	1	"darkgreen"	5
"204"	"BASV160"	"BASV741"	1	"darkgreen"	5
"205"	"BASV160"	"BASV1785"	1	"darkgreen"	5
"206"	"BASV160"	"BASV2697"	1	"darkgreen"	5
"207"	"BASV160"	"BASV3277"	1	"darkred"	5
"208"	"BASV160"	"FASV3"	1	"darkgreen"	5
"209"	"BASV160"	"FASV30"	1	"darkgreen"	5
"210"	"BASV160"	"FASV37"	1	"darkred"	5
"211"	"BASV160"	"FASV58"	1	"darkred"	5
"212"	"BASV160"	"FASV69"	1	"darkgreen"	5
"213"	"BASV160"	"FASV82"	1	"darkred"	5
"214"	"BASV160"	"FASV102"	1	"darkgreen"	5
"215"	"BASV160"	"FASV195"	1	"darkgreen"	5
"216"	"BASV160"	"FASV309"	1	"darkgreen"	5
"217"	"BASV166"	"BASV442"	1	"darkgreen"	5
"218"	"BASV166"	"BASV729"	1	"darkgreen"	5
"219"	"BASV166"	"BASV792"	1	"darkgreen"	5
"220"	"BASV166"	"BASV5121"	1	"darkgreen"	5
"221"	"BASV166"	"FASV20"	1	"darkgreen"	5
"222"	"BASV166"	"FASV118"	1	"darkgreen"	5
"223"	"BASV166"	"FASV156"	1	"darkgreen"	5
"224"	"BASV182"	"BASV384"	1	"darkgreen"	5
"225"	"BASV182"	"BASV393"	1	"darkgreen"	5
"226"	"BASV182"	"BASV858"	1	"darkgreen"	5
"227"	"BASV182"	"FASV197"	1	"darkgreen"	5
"228"	"BASV186"	"BASV280"	1	"darkgreen"	5
"229"	"BASV186"	"BASV294"	1	"darkgreen"	5
"230"	"BASV186"	"BASV295"	1	"darkgreen"	5
"231"	"BASV186"	"BASV2697"	1	"darkred"	5
"232"	"BASV186"	"FASV14"	1	"darkgreen"	5
"233"	"BASV186"	"FASV43"	1	"darkgreen"	5
"234"	"BASV188"	"BASV306"	1	"darkgreen"	5
"235"	"BASV188"	"BASV359"	1	"darkgreen"	5
"236"	"BASV188"	"BASV588"	1	"darkgreen"	5
"237"	"BASV188"	"BASV777"	1	"darkgreen"	5
"238"	"BASV188"	"BASV1167"	1	"darkgreen"	5
"239"	"BASV188"	"BASV1292"	1	"darkgreen"	5
"240"	"BASV188"	"BASV1510"	1	"darkgreen"	5
"241"	"BASV188"	"BASV1538"	1	"darkgreen"	5
"242"	"BASV188"	"BASV1839"	1	"darkgreen"	5
"243"	"BASV188"	"BASV2773"	1	"darkgreen"	5
"244"	"BASV188"	"BASV3490"	1	"darkgreen"	5
"245"	"BASV188"	"FASV125"	1	"darkgreen"	5
"246"	"BASV188"	"FASV250"	1	"darkgreen"	5
