"Var1"	"Var2"	"rn.x"	"value"	"SampleID"	"Field"	"SampleType"	"Cultivar"	"Pathogen"	"deg.sub"	"bet.sub"	"clo.sub"	"eig.sub.vector"	"hubScore"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"rn.y"	"from"	"to"	"weight"	"color"	"arrow.size"
"16"	"BASV45"	"s2rmt3"	"91"	0.001019887812341	"s2rmt3"	"Field1"	"Root"	"SweetAnne"	"Mac"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
"17"	"BASV45"	"s3cmr2"	"97"	0.00458215546071	"s3cmr2"	"Field1"	"Rhizo"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
"18"	"BASV45"	"s3cmr3"	"103"	0.002703493507466	"s3cmr3"	"Field1"	"Rhizo"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
"19"	"BASV45"	"s3cmt3"	"109"	0	"s3cmt3"	"Field1"	"Root"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
"20"	"BASV45"	"s3rmr2"	"115"	0	"s3rmr2"	"Field1"	"Rhizo"	"SweetAnne"	"Mac"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
"21"	"BASV45"	"s3rmr3"	"121"	0	"s3rmr3"	"Field1"	"Rhizo"	"SweetAnne"	"Mac"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
"22"	"BASV45"	"s3rmt3"	"127"	0	"s3rmt3"	"Field1"	"Root"	"SweetAnne"	"Mac"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
"23"	"FASV102"	"s1cmr2"	"2"	0.00083039236039	"s1cmr2"	"Field1"	"Rhizo"	"SweetAnne"	"none"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"24"	"FASV102"	"s1cmr3"	"8"	0.003920966115771	"s1cmr3"	"Field1"	"Rhizo"	"SweetAnne"	"none"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"25"	"FASV102"	"s1cmt2"	"14"	0.001178010471204	"s1cmt2"	"Field1"	"Root"	"SweetAnne"	"none"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
