"from"	"to"	"weight"	"color"	"arrow.size"
"108"	"BASV45"	"FASV99"	1	"darkgreen"	5
"109"	"BASV45"	"FASV125"	1	"darkgreen"	5
"110"	"BASV45"	"FASV446"	1	"darkgreen"	5
"111"	"BASV45"	"FASV494"	1	"darkgreen"	5
"112"	"BASV61"	"BASV201"	1	"darkgreen"	5
"113"	"BASV61"	"BASV210"	1	"darkgreen"	5
"114"	"BASV61"	"BASV1738"	1	"darkgreen"	5
"115"	"BASV61"	"FASV37"	1	"darkgreen"	5
"116"	"BASV61"	"FASV46"	1	"darkgreen"	5
"117"	"BASV61"	"FASV49"	1	"darkgreen"	5
"118"	"BASV61"	"FASV56"	1	"darkgreen"	5
"119"	"BASV61"	"FASV71"	1	"darkgreen"	5
"120"	"BASV61"	"FASV82"	1	"darkgreen"	5
"121"	"BASV61"	"FASV102"	1	"darkred"	5
"122"	"BASV61"	"FASV122"	1	"darkgreen"	5
"123"	"BASV61"	"FASV129"	1	"darkred"	5
"124"	"BASV61"	"FASV137"	1	"darkgreen"	5
"125"	"BASV61"	"FASV167"	1	"darkgreen"	5
"126"	"BASV61"	"FASV197"	1	"darkgreen"	5
"127"	"BASV61"	"FASV206"	1	"darkgreen"	5
"128"	"BASV61"	"FASV431"	1	"darkgreen"	5
"129"	"BASV62"	"BASV112"	1	"darkgreen"	5
"130"	"BASV62"	"BASV295"	1	"darkgreen"	5
"131"	"BASV62"	"BASV348"	1	"darkgreen"	5
"132"	"BASV62"	"BASV359"	1	"darkgreen"	5
"133"	"BASV62"	"BASV792"	1	"darkgreen"	5
"134"	"BASV62"	"BASV1035"	1	"darkgreen"	5
"135"	"BASV62"	"FASV3"	1	"darkred"	5
"136"	"BASV62"	"FASV11"	1	"darkgreen"	5
"137"	"BASV62"	"FASV49"	1	"darkgreen"	5
"138"	"BASV62"	"FASV69"	1	"darkgreen"	5
"139"	"BASV62"	"FASV125"	1	"darkgreen"	5
"140"	"BASV62"	"FASV129"	1	"darkgreen"	5
"141"	"BASV62"	"FASV190"	1	"darkgreen"	5
"142"	"BASV66"	"BASV285"	1	"darkgreen"	5
"143"	"BASV66"	"BASV453"	1	"darkgreen"	5
"144"	"BASV66"	"BASV851"	1	"darkgreen"	5
"145"	"BASV66"	"BASV1457"	1	"darkred"	5
"146"	"BASV66"	"BASV1573"	1	"darkgreen"	5
"147"	"BASV66"	"BASV3377"	1	"darkgreen"	5
"148"	"BASV66"	"FASV8"	1	"darkred"	5
"149"	"BASV66"	"FASV11"	1	"darkgreen"	5
"150"	"BASV66"	"FASV20"	1	"darkgreen"	5
"151"	"BASV66"	"FASV30"	1	"darkred"	5
"152"	"BASV66"	"FASV69"	1	"darkred"	5
"153"	"BASV66"	"FASV78"	1	"darkgreen"	5
"154"	"BASV66"	"FASV99"	1	"darkgreen"	5
"155"	"BASV66"	"FASV122"	1	"darkred"	5
"156"	"BASV66"	"FASV167"	1	"darkred"	5
"157"	"BASV66"	"FASV341"	1	"darkgreen"	5
"158"	"BASV66"	"FASV349"	1	"darkgreen"	5
"159"	"BASV76"	"BASV99"	1	"darkgreen"	5
"160"	"BASV76"	"BASV112"	1	"darkgreen"	5
"161"	"BASV76"	"BASV160"	1	"darkred"	5
"162"	"BASV76"	"BASV166"	1	"darkgreen"	5
"163"	"BASV76"	"BASV201"	1	"darkgreen"	5
"164"	"BASV76"	"BASV236"	1	"darkgreen"	5
"165"	"BASV76"	"BASV273"	1	"darkgreen"	5
"166"	"BASV76"	"BASV347"	1	"darkred"	5
"167"	"BASV76"	"BASV348"	1	"darkgreen"	5
"168"	"BASV76"	"BASV763"	1	"darkgreen"	5
"169"	"BASV76"	"BASV879"	1	"darkgreen"	5
"170"	"BASV76"	"BASV1035"	1	"darkgreen"	5
"171"	"BASV76"	"BASV1362"	1	"darkred"	5
"172"	"BASV76"	"BASV1457"	1	"darkred"	5
"173"	"BASV76"	"BASV1657"	1	"darkgreen"	5
"174"	"BASV76"	"BASV15706"	1	"darkred"	5
"175"	"BASV76"	"FASV10"	1	"darkgreen"	5
"176"	"BASV76"	"FASV19"	1	"darkgreen"	5
"177"	"BASV76"	"FASV58"	1	"darkgreen"	5
"178"	"BASV76"	"FASV66"	1	"darkred"	5
"179"	"BASV76"	"FASV118"	1	"darkgreen"	5
"180"	"BASV76"	"FASV129"	1	"darkgreen"	5
"181"	"BASV76"	"FASV142"	1	"darkred"	5
"182"	"BASV76"	"FASV171"	1	"darkgreen"	5
"183"	"BASV76"	"FASV195"	1	"darkred"	5
"184"	"BASV76"	"FASV436"	1	"darkred"	5
"185"	"BASV76"	"FASV810"	1	"darkred"	5
"186"	"BASV88"	"BASV125"	1	"darkgreen"	5
"187"	"BASV88"	"BASV137"	1	"darkgreen"	5
"188"	"BASV88"	"BASV448"	1	"darkgreen"	5
"189"	"BASV88"	"BASV453"	1	"darkgreen"	5
"190"	"BASV88"	"BASV584"	1	"darkgreen"	5
"191"	"BASV88"	"BASV879"	1	"darkgreen"	5
"192"	"BASV88"	"BASV1573"	1	"darkgreen"	5
"193"	"BASV88"	"FASV36"	1	"darkgreen"	5
"194"	"BASV88"	"FASV171"	1	"darkgreen"	5
"195"	"BASV88"	"FASV291"	1	"darkgreen"	5
"196"	"BASV88"	"FASV404"	1	"darkgreen"	5
"197"	"BASV88"	"FASV463"	1	"darkgreen"	5
"198"	"BASV88"	"FASV501"	1	"darkgreen"	5
"199"	"BASV88"	"FASV520"	1	"darkgreen"	5
"200"	"BASV95"	"BASV182"	1	"darkgreen"	5
"201"	"BASV95"	"BASV201"	1	"darkgreen"	5
"202"	"BASV95"	"BASV236"	1	"darkgreen"	5
"203"	"BASV95"	"BASV273"	1	"darkgreen"	5
"204"	"BASV95"	"BASV280"	1	"darkgreen"	5
"205"	"BASV95"	"BASV295"	1	"darkgreen"	5
"206"	"BASV95"	"BASV584"	1	"darkgreen"	5
"207"	"BASV95"	"BASV729"	1	"darkgreen"	5
"208"	"BASV95"	"BASV1035"	1	"darkgreen"	5
"209"	"BASV95"	"BASV1612"	1	"darkgreen"	5
"210"	"BASV95"	"BASV1657"	1	"darkgreen"	5
"211"	"BASV95"	"BASV1811"	1	"darkgreen"	5
"212"	"BASV95"	"BASV2248"	1	"darkgreen"	5
"213"	"BASV95"	"FASV3"	1	"darkred"	5
"214"	"BASV95"	"FASV49"	1	"darkgreen"	5
"215"	"BASV95"	"FASV197"	1	"darkgreen"	5
"216"	"BASV95"	"FASV309"	1	"darkred"	5
"217"	"BASV95"	"FASV386"	1	"darkgreen"	5
"218"	"BASV95"	"FASV431"	1	"darkgreen"	5
"219"	"BASV95"	"FASV485"	1	"darkgreen"	5
"220"	"BASV99"	"BASV116"	1	"darkgreen"	5
"221"	"BASV99"	"BASV121"	1	"darkgreen"	5
"222"	"BASV99"	"BASV137"	1	"darkgreen"	5
"223"	"BASV99"	"BASV210"	1	"darkgreen"	5
"224"	"BASV99"	"BASV250"	1	"darkgreen"	5
"225"	"BASV99"	"BASV269"	1	"darkgreen"	5
"226"	"BASV99"	"BASV461"	1	"darkred"	5
"227"	"BASV99"	"BASV2935"	1	"darkred"	5
"228"	"BASV99"	"BASV9661"	1	"darkred"	5
"229"	"BASV99"	"FASV11"	1	"darkgreen"	5
"230"	"BASV99"	"FASV20"	1	"darkgreen"	5
"231"	"BASV99"	"FASV43"	1	"darkred"	5
"232"	"BASV99"	"FASV58"	1	"darkgreen"	5
"233"	"BASV99"	"FASV84"	1	"darkgreen"	5
"234"	"BASV99"	"FASV100"	1	"darkgreen"	5
"235"	"BASV99"	"FASV149"	1	"darkgreen"	5
"236"	"BASV99"	"FASV250"	1	"darkgreen"	5
"237"	"BASV99"	"FASV436"	1	"darkgreen"	5
"238"	"BASV99"	"FASV656"	1	"darkgreen"	5
"239"	"BASV112"	"BASV136"	1	"darkgreen"	5
"240"	"BASV112"	"BASV262"	1	"darkgreen"	5
"241"	"BASV112"	"BASV285"	1	"darkgreen"	5
"242"	"BASV112"	"BASV322"	1	"darkgreen"	5
"243"	"BASV112"	"BASV442"	1	"darkgreen"	5
"244"	"BASV112"	"BASV924"	1	"darkgreen"	5
"245"	"BASV112"	"BASV1058"	1	"darkgreen"	5
"246"	"BASV112"	"FASV10"	1	"darkgreen"	5
"247"	"BASV112"	"FASV76"	1	"darkgreen"	5
"248"	"BASV112"	"FASV82"	1	"darkgreen"	5
"249"	"BASV112"	"FASV84"	1	"darkgreen"	5
"250"	"BASV112"	"FASV132"	1	"darkgreen"	5
"251"	"BASV112"	"FASV197"	1	"darkgreen"	5
"252"	"BASV112"	"FASV656"	1	"darkgreen"	5
"253"	"BASV116"	"BASV186"	1	"darkgreen"	5
"254"	"BASV116"	"BASV280"	1	"darkgreen"	5
"255"	"BASV116"	"BASV294"	1	"darkgreen"	5
"256"	"BASV116"	"BASV295"	1	"darkgreen"	5
"257"	"BASV116"	"BASV741"	1	"darkgreen"	5
"258"	"BASV116"	"BASV973"	1	"darkgreen"	5
"259"	"BASV116"	"BASV4639"	1	"darkgreen"	5
"260"	"BASV116"	"FASV49"	1	"darkgreen"	5
"261"	"BASV116"	"FASV142"	1	"darkgreen"	5
"262"	"BASV116"	"FASV144"	1	"darkgreen"	5
"263"	"BASV116"	"FASV364"	1	"darkgreen"	5
"264"	"BASV116"	"FASV366"	1	"darkgreen"	5
"265"	"BASV116"	"FASV427"	1	"darkgreen"	5
"266"	"BASV116"	"FASV1058"	1	"darkgreen"	5
"267"	"BASV120"	"BASV398"	1	"darkgreen"	5
"268"	"BASV120"	"BASV525"	1	"darkgreen"	5
"269"	"BASV120"	"BASV924"	1	"darkgreen"	5
"270"	"BASV120"	"BASV1785"	1	"darkgreen"	5
"271"	"BASV120"	"BASV3471"	1	"darkgreen"	5
"272"	"BASV120"	"BASV4639"	1	"darkgreen"	5
"273"	"BASV120"	"BASV5248"	1	"darkgreen"	5
"274"	"BASV120"	"BASV5250"	1	"darkgreen"	5
"275"	"BASV120"	"BASV5983"	1	"darkgreen"	5
"276"	"BASV120"	"BASV6531"	1	"darkgreen"	5
"277"	"BASV120"	"BASV9663"	1	"darkgreen"	5
"278"	"BASV121"	"BASV448"	1	"darkgreen"	5
"279"	"BASV121"	"BASV1362"	1	"darkred"	5
"280"	"BASV121"	"FASV3"	1	"darkred"	5
"281"	"BASV121"	"FASV14"	1	"darkgreen"	5
"282"	"BASV121"	"FASV27"	1	"darkgreen"	5
"283"	"BASV121"	"FASV62"	1	"darkgreen"	5
"284"	"BASV121"	"FASV99"	1	"darkgreen"	5
"285"	"BASV121"	"FASV113"	1	"darkgreen"	5
"286"	"BASV121"	"FASV250"	1	"darkgreen"	5
"287"	"BASV121"	"FASV436"	1	"darkgreen"	5
"288"	"BASV121"	"FASV463"	1	"darkgreen"	5
"289"	"BASV121"	"FASV501"	1	"darkgreen"	5
"290"	"BASV121"	"FASV810"	1	"darkred"	5
"291"	"BASV125"	"BASV260"	1	"darkgreen"	5
"292"	"BASV125"	"BASV267"	1	"darkgreen"	5
"293"	"BASV125"	"BASV334"	1	"darkgreen"	5
"294"	"BASV125"	"BASV448"	1	"darkgreen"	5
"295"	"BASV125"	"BASV461"	1	"darkgreen"	5
"296"	"BASV125"	"BASV741"	1	"darkred"	5
"297"	"BASV125"	"BASV1573"	1	"darkgreen"	5
"298"	"BASV125"	"BASV2686"	1	"darkgreen"	5
"299"	"BASV125"	"BASV16127"	1	"darkgreen"	5
"300"	"BASV125"	"FASV29"	1	"darkgreen"	5
"301"	"BASV125"	"FASV40"	1	"darkgreen"	5
"302"	"BASV125"	"FASV45"	1	"darkgreen"	5
"303"	"BASV125"	"FASV58"	1	"darkgreen"	5
"304"	"BASV125"	"FASV149"	1	"darkred"	5
"305"	"BASV125"	"FASV156"	1	"darkgreen"	5
"306"	"BASV125"	"FASV187"	1	"darkgreen"	5
"307"	"BASV125"	"FASV309"	1	"darkred"	5
"308"	"BASV125"	"FASV341"	1	"darkgreen"	5
"309"	"BASV125"	"FASV621"	1	"darkred"	5
"310"	"BASV136"	"BASV166"	1	"darkgreen"	5
"311"	"BASV136"	"BASV260"	1	"darkgreen"	5
"312"	"BASV136"	"BASV262"	1	"darkgreen"	5
"313"	"BASV136"	"BASV348"	1	"darkgreen"	5
"314"	"BASV136"	"BASV442"	1	"darkgreen"	5
"315"	"BASV136"	"BASV777"	1	"darkgreen"	5
"316"	"BASV136"	"BASV1035"	1	"darkred"	5
"317"	"BASV136"	"FASV11"	1	"darkgreen"	5
"318"	"BASV136"	"FASV19"	1	"darkred"	5
"319"	"BASV136"	"FASV30"	1	"darkgreen"	5
"320"	"BASV136"	"FASV32"	1	"darkgreen"	5
"321"	"BASV136"	"FASV51"	1	"darkgreen"	5
"322"	"BASV136"	"FASV66"	1	"darkred"	5
"323"	"BASV136"	"FASV118"	1	"darkgreen"	5
"324"	"BASV136"	"FASV160"	1	"darkgreen"	5
"325"	"BASV136"	"FASV190"	1	"darkgreen"	5
"326"	"BASV136"	"FASV276"	1	"darkgreen"	5
"327"	"BASV137"	"BASV160"	1	"darkred"	5
"328"	"BASV137"	"BASV200"	1	"darkgreen"	5
"329"	"BASV137"	"BASV232"	1	"darkgreen"	5
"330"	"BASV137"	"BASV448"	1	"darkgreen"	5
"331"	"BASV137"	"BASV741"	1	"darkgreen"	5
"332"	"BASV137"	"BASV824"	1	"darkgreen"	5
"333"	"BASV137"	"BASV932"	1	"darkgreen"	5
"334"	"BASV137"	"BASV1784"	1	"darkgreen"	5
"335"	"BASV137"	"BASV3471"	1	"darkgreen"	5
"336"	"BASV137"	"FASV19"	1	"darkgreen"	5
"337"	"BASV137"	"FASV36"	1	"darkgreen"	5
"338"	"BASV137"	"FASV58"	1	"darkgreen"	5
"339"	"BASV137"	"FASV171"	1	"darkgreen"	5
"340"	"BASV137"	"FASV341"	1	"darkgreen"	5
"341"	"BASV137"	"FASV436"	1	"darkgreen"	5
"342"	"BASV137"	"FASV743"	1	"darkgreen"	5
"343"	"BASV137"	"FASV810"	1	"darkgreen"	5
"344"	"BASV160"	"BASV306"	1	"darkred"	5
"345"	"BASV160"	"BASV322"	1	"darkred"	5
"346"	"BASV160"	"BASV334"	1	"darkred"	5
"347"	"BASV160"	"BASV347"	1	"darkred"	5
"348"	"BASV160"	"BASV461"	1	"darkgreen"	5
"349"	"BASV160"	"BASV478"	1	"darkgreen"	5
"350"	"BASV160"	"BASV741"	1	"darkgreen"	5
"351"	"BASV160"	"BASV1035"	1	"darkgreen"	5
"352"	"BASV160"	"BASV1167"	1	"darkgreen"	5
"353"	"BASV160"	"BASV1610"	1	"darkgreen"	5
"354"	"BASV160"	"BASV1784"	1	"darkred"	5
"355"	"BASV160"	"BASV2248"	1	"darkgreen"	5
"356"	"BASV160"	"BASV4672"	1	"darkgreen"	5
"357"	"BASV160"	"BASV7712"	1	"darkgreen"	5
"358"	"BASV160"	"BASV8696"	1	"darkgreen"	5
"359"	"BASV160"	"FASV11"	1	"darkred"	5
"360"	"BASV160"	"FASV20"	1	"darkred"	5
"361"	"BASV160"	"FASV27"	1	"darkred"	5
"362"	"BASV160"	"FASV58"	1	"darkred"	5
"363"	"BASV160"	"FASV84"	1	"darkred"	5
"364"	"BASV160"	"FASV125"	1	"darkred"	5
"365"	"BASV160"	"FASV149"	1	"darkred"	5
"366"	"BASV160"	"FASV223"	1	"darkgreen"	5
"367"	"BASV160"	"FASV621"	1	"darkgreen"	5
"368"	"BASV166"	"BASV285"	1	"darkgreen"	5
"369"	"BASV166"	"BASV851"	1	"darkgreen"	5
"370"	"BASV166"	"BASV2364"	1	"darkgreen"	5
"371"	"BASV166"	"FASV11"	1	"darkgreen"	5
"372"	"BASV166"	"FASV32"	1	"darkgreen"	5
"373"	"BASV166"	"FASV35"	1	"darkred"	5
"374"	"BASV166"	"FASV46"	1	"darkred"	5
"375"	"BASV166"	"FASV60"	1	"darkred"	5
"376"	"BASV166"	"FASV78"	1	"darkgreen"	5
"377"	"BASV166"	"FASV84"	1	"darkgreen"	5
"378"	"BASV166"	"FASV104"	1	"darkred"	5
"379"	"BASV166"	"FASV134"	1	"darkgreen"	5
"380"	"BASV166"	"FASV138"	1	"darkgreen"	5
"381"	"BASV166"	"FASV144"	1	"darkgreen"	5
"382"	"BASV166"	"FASV160"	1	"darkgreen"	5
"383"	"BASV166"	"FASV171"	1	"darkred"	5
"384"	"BASV166"	"FASV203"	1	"darkgreen"	5
"385"	"BASV166"	"FASV276"	1	"darkgreen"	5
"386"	"BASV166"	"FASV307"	1	"darkred"	5
"387"	"BASV166"	"FASV341"	1	"darkgreen"	5
"388"	"BASV166"	"FASV349"	1	"darkgreen"	5
"389"	"BASV182"	"BASV280"	1	"darkgreen"	5
"390"	"BASV182"	"BASV294"	1	"darkgreen"	5
"391"	"BASV182"	"BASV295"	1	"darkgreen"	5
"392"	"BASV182"	"BASV384"	1	"darkgreen"	5
"393"	"BASV182"	"BASV513"	1	"darkgreen"	5
"394"	"BASV182"	"BASV729"	1	"darkgreen"	5
"395"	"BASV182"	"BASV932"	1	"darkred"	5
"396"	"BASV182"	"BASV1282"	1	"darkgreen"	5
"397"	"BASV182"	"BASV1612"	1	"darkgreen"	5
"398"	"BASV182"	"BASV3435"	1	"darkgreen"	5
"399"	"BASV182"	"BASV3912"	1	"darkgreen"	5
"400"	"BASV182"	"BASV6443"	1	"darkgreen"	5
"401"	"BASV182"	"FASV3"	1	"darkred"	5
"402"	"BASV182"	"FASV104"	1	"darkred"	5
"403"	"BASV182"	"FASV485"	1	"darkgreen"	5
"404"	"BASV182"	"FASV566"	1	"darkgreen"	5
"405"	"BASV186"	"BASV294"	1	"darkgreen"	5
"406"	"BASV186"	"BASV461"	1	"darkgreen"	5
"407"	"BASV186"	"BASV1129"	1	"darkgreen"	5
"408"	"BASV186"	"BASV1232"	1	"darkgreen"	5
"409"	"BASV186"	"BASV2911"	1	"darkgreen"	5
"410"	"BASV186"	"FASV27"	1	"darkred"	5
"411"	"BASV186"	"FASV45"	1	"darkgreen"	5
