"s1cmr2"	"s1cmr3"	"s1cmt2"	"s1cmt3"	"s1rmr2"	"s1rmr3"	"s1rmt2"	"s1rmt3"	"s2cmr2"	"s2cmr3"	"s2cmt2"	"s2cmt3"	"s2rmr2"	"s2rmr3"	"s2rmt2"	"s2rmt3"	"s3cmr2"	"s3cmr3"	"s3cmt3"	"s3rmr2"	"s3rmr3"	"s3rmt3"
"BASV1245"	8.86e-05	0.000191982798341	0.00029810702042	0.002598246183826	5.2e-05	0.000248224241961	0.000182715147086	0.000505050505051	7.31e-05	0	0	0.000545256270447	4.95e-05	0.000274446304581	0	0.001529831718511	0.000147811466475	0.000249552884415	0	0	0	0
"BASV1282"	0.000159532039351	0.000172784518507	0.00014905351021	0.000324780772978	0.00018186541959	0.000362789276713	0	0	0.000121758188238	6.23e-05	0.000145137880987	0	6.6e-05	0.000192112413206	0	0	0.000147811466475	0.00016636858961	0	0	0	0
"BASV1292"	0.000567225028804	0.000403163876517	0	0	0.000493634710314	0.000477354311464	0	0	0.000681845854134	0.000290957457863	0	0	0.000230844064834	0.000384224826413	0	0	0.000591245865898	0.00047830969513	0	0	0	0
"BASV1340"	0	7.68e-05	0	0	5.2e-05	3.82e-05	0	0	2.44e-05	2.08e-05	0	0	3.3e-05	8.23e-05	0	0	1.85e-05	4.16e-05	0	0	0	0
"BASV1362"	0.000159532039351	0.000364767316848	0	0.000324780772978	0.00018186541959	0.000305506759337	0	0	0.000194813101181	0.000415653511233	0	0	0.000197866341286	0.000329335565497	0	0.00050994390617	0.000110858599856	0.000332737179221	0	0	0	0
"BASV1364"	7.09e-05	0.00055675011519	0.00014905351021	0	0.000337750064952	0.00026731841442	0	0	7.31e-05	0.000103913377808	0	0	0.000263821788382	0.00013722315229	0.000155134967422	0	0.000129335033165	0.000124776442208	0	0	0	0
"BASV1435"	0.000159532039351	0.000191982798341	0	0	0.000337750064952	0.000458260139006	0	0	0.000267868014124	2.08e-05	0	0	0.000247332926608	0.000192112413206	0	0	7.39e-05	2.08e-05	0	0	0	0
"BASV1457"	0	0.002054215942252	0	0.000324780772978	0	7.64e-05	0	0	0	0.000831307022466	0	0.000545256270447	0	0	0	0	1.85e-05	0.000103980368506	0	0	0	0
"BASV1498"	5.32e-05	0	0	0	0.000129903871135	0	0	0	0.000292219651772	0	0.000435413642961	0	0.000148399755965	0	0.000310269934843	0	3.7e-05	0	0	0	0	0
"BASV1510"	0.000762208632456	0.000575948395024	0	0.000649561545956	0.000597557807223	0.000305506759337	0	0	0.000901010592962	0.000332522808986	0	0	0.000445199267895	0.000274446304581	0	0	0.000110858599856	0.000311941105519	0	0	0	0
"BASV1538"	0.000177257821501	0.00032637075718	0	0	5.2e-05	0.000171847552127	0	0	0.000170461463533	0.00024939210674	0	0	8.24e-05	5.49e-05	0	0	9.24e-05	0.000145572515909	0	0	0	0
"BASV1563"	3.55e-05	0	0	0	2.6e-05	1.91e-05	0	0	7.31e-05	2.08e-05	0	0	8.24e-05	0	0	0	5.54e-05	0	0	0	0	0
"BASV1573"	7.09e-05	1.92e-05	0	0	0.000337769290725	0	0.000182715147086	0	7.31e-05	0	0.000290275761974	0	0.000329788373704	0	0	0	3.7e-05	0	0	0	0	0
"BASV1592"	0.000124080475051	0	0	0	0.000233826968044	0.000381883449171	0	0.000252525252525	0.000560087665896	6.23e-05	0	0.001090512540894	0.000181377479513	0.000356780195955	0	0	3.7e-05	8.32e-05	0	0	0	0
"BASV1610"	0	0	0	0	5.2e-05	3.82e-05	0	0.000505050505051	0	4.16e-05	0	0	0	2.74e-05	0	0.001019887812341	0	0	0	0	0	0
"BASV1612"	1.77e-05	7.68e-05	0.00014905351021	0	0.000233826968044	5.73e-05	0	0	4.87e-05	8.31e-05	0	0	0.000329777235477	5.49e-05	0	0	5.54e-05	0.000103980368506	0	0	0	0
